"cokey"	"ave_no3_leach"	"ave_nh3_vol"	"bulk_dens"	"ph"	"wthirdbar"	"wfifteenbar"	"awc"	"clay_frac"	"sand_frac"	"ksat"	"om"
"11856418"	"146.94"	"2.55"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"11856726"	"136.60"	"3.22"	"1.40"	"6.50"	"19.30"	"9.60"	"0.17"	"10.00"	"63.90"	"28.00"	"2.50"
"11856732"	"148.57"	"3.25"	"1.62"	"6.80"	"17.50"	"7.80"	"0.14"	"8.00"	"70.00"	"28.00"	"1.50"
"11856733"	"162.23"	"3.43"	"1.62"	"6.80"	"17.50"	"7.80"	"0.14"	"8.00"	"70.00"	"28.00"	"1.50"
"11856750"	"142.33"	"3.56"	"1.53"	"6.70"	"14.90"	"6.50"	"0.11"	"7.50"	"83.50"	"92.00"	"1.50"
"11856751"	"135.57"	"4.18"	"1.53"	"6.70"	"14.20"	"5.80"	"0.11"	"7.50"	"83.50"	"92.00"	"1.00"
"11856797"	"133.30"	"3.89"	"1.45"	"6.50"	"29.10"	"14.00"	"0.23"	"16.00"	"13.90"	"9.00"	"3.50"
"11856803"	"138.35"	"3.60"	"1.53"	"6.50"	"19.40"	"9.80"	"0.14"	"12.50"	"67.90"	"28.00"	"1.20"
"11856860"	"154.61"	"3.18"	"1.53"	"6.10"	"19.20"	"9.50"	"0.14"	"12.50"	"67.90"	"28.00"	"1.00"
"11856871"	"136.63"	"7.31"	"1.45"	"7.00"	"26.50"	"10.90"	"0.22"	"14.00"	"14.20"	"9.00"	"2.00"
"11856890"	"140.26"	"2.73"	"1.55"	"6.20"	"18.10"	"8.60"	"0.15"	"10.00"	"67.00"	"28.00"	"1.50"
"11856922"	"142.04"	"3.71"	"1.43"	"6.80"	"18.30"	"8.50"	"0.16"	"9.00"	"69.00"	"28.00"	"2.00"
"11856965"	"140.60"	"3.68"	"1.43"	"6.80"	"18.30"	"8.50"	"0.16"	"9.00"	"69.00"	"28.00"	"2.00"
"11857026"	"133.37"	"2.62"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"11857029"	"142.81"	"2.71"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"11857071"	"143.34"	"2.68"	"1.50"	"5.90"	"17.20"	"7.50"	"0.15"	"9.00"	"60.00"	"28.00"	"1.00"
"11857073"	"151.56"	"2.80"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"11857074"	"154.47"	"2.85"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"11857077"	"149.36"	"2.66"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"11857078"	"151.55"	"2.67"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"11857100"	"162.80"	"3.79"	"1.30"	"6.20"	"14.50"	"5.30"	"0.11"	"6.00"	"87.00"	"92.00"	"1.50"
"11857102"	"139.85"	"14.81"	"1.40"	"7.30"	"13.00"	"5.50"	"0.11"	"8.00"	"80.00"	"28.00"	"1.50"
"11857103"	"157.86"	"18.94"	"1.40"	"7.30"	"13.00"	"5.50"	"0.11"	"8.00"	"80.00"	"28.00"	"1.50"
"11857131"	"152.42"	"7.14"	"1.40"	"6.70"	"30.70"	"17.20"	"0.21"	"22.50"	"39.80"	"9.00"	"4.00"
"11857132"	"141.79"	"6.92"	"1.40"	"6.70"	"30.30"	"16.60"	"0.21"	"22.50"	"39.80"	"9.00"	"3.50"
"11857133"	"140.19"	"7.47"	"1.40"	"6.70"	"29.60"	"15.60"	"0.21"	"22.50"	"39.80"	"9.00"	"2.70"
"11857147"	"152.60"	"5.93"	"1.43"	"6.50"	"31.90"	"19.30"	"0.21"	"24.50"	"38.80"	"9.00"	"4.50"
"11857149"	"152.60"	"5.93"	"1.43"	"6.50"	"31.90"	"19.30"	"0.21"	"24.50"	"38.80"	"9.00"	"4.50"
"11857152"	"152.42"	"7.14"	"1.40"	"6.70"	"30.70"	"17.20"	"0.21"	"22.50"	"39.80"	"9.00"	"4.00"
"11857153"	"141.79"	"6.92"	"1.40"	"6.70"	"30.30"	"16.60"	"0.21"	"22.50"	"39.80"	"9.00"	"3.50"
"11857155"	"164.36"	"3.67"	"1.53"	"6.50"	"14.90"	"5.70"	"0.08"	"6.00"	"84.90"	"92.00"	"1.25"
"11857171"	"141.71"	"4.59"	"1.50"	"6.50"	"32.10"	"19.10"	"0.20"	"22.00"	"41.10"	"9.00"	"4.50"
"11857188"	"150.30"	"3.26"	"1.53"	"6.50"	"20.60"	"11.50"	"0.11"	"14.00"	"66.80"	"28.00"	"2.00"
"11857190"	"149.07"	"3.48"	"1.53"	"6.50"	"20.00"	"10.80"	"0.11"	"14.00"	"66.80"	"28.00"	"1.50"
"11857278"	"139.31"	"27.52"	"1.25"	"6.90"	"32.70"	"21.10"	"0.18"	"27.00"	"36.00"	"2.82"	"7.00"
"11857332"	"137.71"	"3.53"	"1.35"	"6.20"	"30.80"	"18.20"	"0.21"	"24.00"	"39.00"	"9.17"	"5.00"
"11857360"	"135.01"	"2.77"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11857360"	"136.96"	"2.48"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11857360"	"138.52"	"2.29"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11857360"	"146.83"	"2.95"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11857360"	"184.44"	"3.12"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"12500367"	"142.24"	"10.62"	"1.30"	"6.70"	"28.90"	"14.40"	"0.22"	"22.50"	"7.50"	"9.00"	"2.50"
"12500786"	"146.90"	"3.30"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12500810"	"146.77"	"3.17"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"12500811"	"149.52"	"3.19"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"12500813"	"156.78"	"3.25"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"12500844"	"133.90"	"3.69"	"1.53"	"6.50"	"22.20"	"13.20"	"0.14"	"15.00"	"65.00"	"28.00"	"2.00"
"12500845"	"134.02"	"3.76"	"1.53"	"6.50"	"22.20"	"13.20"	"0.14"	"15.00"	"65.00"	"28.00"	"2.00"
"12500860"	"137.75"	"3.63"	"1.53"	"6.50"	"21.30"	"12.60"	"0.13"	"15.00"	"65.90"	"28.00"	"2.50"
"12500925"	"137.56"	"5.45"	"1.45"	"6.70"	"25.60"	"9.80"	"0.22"	"14.00"	"14.20"	"9.00"	"1.20"
"12500926"	"141.58"	"5.87"	"1.45"	"6.70"	"25.60"	"9.80"	"0.22"	"14.00"	"14.20"	"9.00"	"1.20"
"12501019"	"155.05"	"3.38"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12501022"	"146.19"	"3.25"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12501094"	"152.64"	"3.36"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12501095"	"157.43"	"3.39"	"1.57"	"6.10"	"14.40"	"5.10"	"0.11"	"5.00"	"85.00"	"92.00"	"1.00"
"12501119"	"139.20"	"3.07"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
